real_name,dmf_0,dmf_1,dmf_2,dmf_3,dmf_4,dmf_5,dmf_6,dma_0,dma_1,dma_2,dma_3,dma_4,dma_5,dma_6,mma_0,mma_1,mma_2,mma_3,mma_4,mma_5,mma_6
20,0.082090999999999997305,0.065654000000000004023,0.051451999999999997737,0.040321999999999996733,0.031600000000000003086,0.02476499999999999882,0.019408000000000001639,0,0.013622999999999999693,0.020636999999999999095,0.022801999999999999352,0.022280999999999998723,0.020397999999999999465,0.017940000000000001085,0,0.0027734999999999999237,0.0096898999999999995553,0.018030999999999998418,0.026272000000000000214,0.033634999999999998233,0.039788999999999997981
21,0.082090999999999997305,0.037337000000000002131,0.015807999999999999136,0.0066931999999999998441,0.0028338000000000000342,0.0011997999999999999984,0.00050799999999999998802,0,0.044562999999999998446,0.065626000000000003776,0.074160000000000003695,0.077393000000000003458,0.078384999999999996345,0.078431000000000000716,0,0.00019022000000000000497,0.00065590999999999999998,0.001235500000000000053,0.0018596999999999999382,0.0024992000000000000326,0.0031416000000000000349
22,0.082090999999999997305,0.072996000000000005326,0.064219999999999999307,0.05650000000000000161,0.049707000000000001183,0.043730999999999999039,0.038474000000000001254,0,0.0063461999999999997579,0.0087308999999999997721,0.0090671999999999992187,0.0085874999999999996475,0.0078238000000000005457,0.0070014999999999999111,0,0.0027119000000000001611,0.0088739000000000005375,0.015758999999999998703,0.022258000000000000007,0.027976000000000000867,0.03282000000000000195
23,0.082090999999999997305,0.064093999999999998196,0.04892900000000000027,0.037352000000000003255,0.028514999999999998681,0.021767999999999999156,0.016618000000000000826,0,0.017933999999999998554,0.032909000000000000752,0.044200999999999997236,0.052680999999999998662,0.059017000000000000015,0.063715999999999994863,0,6.2905999999999997075e-05,0.00025199000000000000479,0.00053664000000000001197,0.00089304000000000000135,0.0013029999999999999048,0.0017527000000000000478
24,0.082090999999999997305,0.066734000000000001651,0.0532380000000000006,0.042472000000000002806,0.033883000000000003393,0.027030999999999999472,0.021563999999999999835,0,0.015304999999999999161,0.028640999999999999792,0.039163999999999997426,0.047441999999999998061,0.053930999999999999772,0.05899299999999999683,0,5.1360000000000002927e-05,0.00020584999999999998915,0.00043796999999999998258,0.00072720000000000000352,0.0010574000000000000066,0.0014156999999999999879
25,0.082090999999999997305,0.047911000000000002197,0.026627000000000001362,0.01479800000000000039,0.0082241999999999992194,0.0045706000000000001834,0.0025401999999999998366,0,0.022568000000000001254,0.022824000000000000538,0.016923000000000000542,0.011152000000000000454,0.0069179000000000002643,0.0041415000000000002159,0,0.01139599999999999988,0.031241999999999998938,0.046789999999999998259,0.056265000000000002511,0.060900000000000002742,0.062295000000000003149
26,0.082090999999999997305,0.056444000000000001116,0.037511000000000002674,0.02492799999999999877,0.016566000000000000864,0.011008999999999999689,0.0073165000000000000868,0,0.025549999999999999795,0.044207999999999997298,0.056397000000000002684,0.064288999999999998924,0.069325999999999998735,0.072469000000000005635,0,9.6525000000000001641e-05,0.00037170999999999997663,0.00076435000000000001205,0.0012332000000000000513,0.0017506999999999999992,0.0022988999999999999886
27,0.082090999999999997305,0.053902999999999999525,0.034065999999999999059,0.021528999999999999526,0.013606000000000000039,0.0085991000000000001463,0.005434600000000000368,0,0.022891999999999999155,0.030568999999999998951,0.029710000000000000298,0.025482000000000001178,0.020431000000000001243,0.01570500000000000021,0,0.005275600000000000081,0.017306999999999999468,0.030422999999999998655,0.042149999999999999967,0.051658000000000002527,0.058902000000000002966
28,0.082090999999999997305,0.072749999999999995226,0.063769000000000006234,0.05589600000000000124,0.048994999999999996887,0.042945999999999998065,0.037643999999999996908,0,0.0080421999999999993491,0.013421999999999999903,0.016355999999999999012,0.017642999999999998961,0.017846000000000000751,0.017358999999999999431,0,0.0012976000000000000988,0.0048957000000000002252,0.009826400000000000759,0.015424999999999999475,0.021247999999999999526,0.027008999999999998287
29,0.082090999999999997305,0.044949000000000002841,0.023300999999999998796,0.01207899999999999946,0.0062613000000000000253,0.0032456999999999998005,0.0016824999999999999678,0,0.031457999999999999852,0.040492000000000000215,0.038251000000000000278,0.032147000000000001962,0.025455999999999999461,0.019470999999999998725,0,0.005653899999999999898,0.018082999999999998381,0.031151999999999999136,0.042481999999999998929,0.051436000000000002552,0.058107999999999999929
30,0.082090999999999997305,0.062809000000000003716,0.046899999999999997247,0.035020999999999996577,0.026151000000000000634,0.019526999999999999219,0.014581999999999999476,0,0.019213000000000000911,0.034917999999999997651,0.046491999999999998605,0.054983999999999998154,0.061175000000000000211,0.065648999999999999022,0,6.8386000000000005594e-05,0.00027218000000000001307,0.00057622999999999994971,0.00095383000000000002071,0.0013851000000000000031,0.001855000000000000095
31,0.082090999999999997305,0.073481000000000004646,0.065115999999999993331,0.057702999999999997349,0.051133999999999998898,0.045311999999999998112,0.040154000000000002191,0,0.0045887000000000002439,0.0052426000000000000378,0.0049031999999999999196,0.004401399999999999757,0.0039125999999999995851,0.0034699000000000001544,0,0.004008900000000000137,0.011653999999999999429,0.019273999999999999466,0.026151000000000000634,0.032211999999999997579,0.037514999999999999736
